question,true,basic,multistep
How many total touchdowns did Cam Newton score?,45,45,five
How many interceptions did Cam Newton throw?,10,"3, 837","3, 8"
How many punts did Ted Ginn Jr. return?,27,27,27
Who started at tight end for the Panthers?,Greg Olsen,Greg Olsen,Jonathan Stewart
What is the record number of touchdowns Cam Newton has had? ,45,45,five
What is the best QB ranking that Cam Newton holds?,99.4,99. 4,99. 4
What are the most passes that Greg Olsen has had?,77 passes,77,35
What position does Jerricho Cotchery play?,receivers,39 receptions for 485 yards,fullback
Which Panthers RB scored 6 TDs in the 13 games leading up to Super Bowl 50?,Jonathan Stewart,Jonathan Stewart,Mike Tolbert
How many Offensive players from the Panthers were selected to play in the Pro Bowl?,six,six,six
Who is the quarterback for the Carolina Panthers?,Cam Newton,Cam Newton,Mike Tolbert
How many yards did Newton throw for in 2015?,"3,837","3, 837","3, 8"
How many touchdowns did Newton have in 2015?,45,45,five
How many touchdowns did Jonathan Stewart have in 13 games?,six,six,six
How many points did Carolina lead the NFL in scoring for offensive plays?,500,500,500
how many yards did Newton get for passes in the 2015 season?,"3,837","3, 837","3, 8"
How many touchdowns did Newton get in the 2015 season?,45,"3, 837",five
What was Newton's quarterback rating for 2015?,99.4.,99. 4,99. 4
How many receptions did Cotchery  get for the 2015 season?,39,39,39
How many points did the Panthers defense surrender?,308,308,308
How many career sacks did Jared Allen have?,136,136,5½
How many tackles did Luke Kuechly register?,118,118,118
How many balls did Josh Norman intercept?,four,88,four
Who registered the most sacks on the team this season?,Kawann Short,Kawann Short,Thomas Davis
How many interceptions are the Panthers defense credited with in 2015?,24,308,24
Who led the Panthers in sacks?,Kawann Short,Kawann Short,hort
How many Panthers defense players were selected for the Pro Bowl?,four,four,four
How many forced fumbles did Thomas Davis have?,four,four,four
Which player had the most interceptions for the season?,Kurt Coleman,,Josh Norman
How many 2015 season interceptions did the Panthers' defense get?,24,308,four
Who had five sacks in nine games as a Carolina Panthers starter?,Kony Ealy,Kony Ealy,Kony Ealy
Who was the Panthers' tackle leader for 2015?,Luke Kuechly.,Jared Allen,Kurt Coleman
How many interceptions did Josh Norman score touchdowns with in 2015?,two.,four,four
Who is the head coach of the Broncos?,Gary Kubiak,,Gary Kubiak
Who played quarterback for the Broncos after Peyton Manning was benched?,Brock Osweiler,Brock Osweiler,Brock Osweiler
Who did Peyton Manning play for as a rookie?,Indianapolis Colts,Indianapolis Colts,Indianapolis Colts
Who did the Broncos play in the last week of the regular season?,San Diego Chargers,[CLS],Peyton Manning
Who is Denver's defensive coordinator?,Wade Phillips,Wade Phillips,Wade Phillips
How many years was John Fox the head coach of the Denver Broncos?,four,four,four
"What is the name of the Bronco's head coach, who was hired after John Fox? ",Gary Kubiak,Gary Kubiak,Gary Kubiak
What was the first team Peyton Manning began playing for?,Indianapolis Colts,,Indianapolis Colts
How old was Peyton Manning in 2015?,39,39,39
"In the 10th week of the 2015 season, what injury was Peyton Manning dealing with?",plantar fasciitis,partial tear of the plantar fasciitis in his left foot,plantar fasciitis
"When John Fox left as head coach for the Broncos, who replaced him?",Gary Kubiak,Gary Kubiak,Gary Kubiak
Who was the quarterback for the Broncos 2015 season?,Peyton Manning,Peyton Manning,Wade Phillips
What injury did Manning suffer the summer before the season started?,a plantar fasciitis injury,plantar fasciitis,plantar fasciitis injury in his heel
How old was Manning at the beginning of the 2015 season?,39,39,39
How many games did the Broncos lose during their regular 2015 season?,four,,12 – 4
What coach left the Broncos after the season prior to Super Bowl 50?,John Fox,,Wade Phillips
"According to game stats, which Super Bowl 50 quarterback had his worst year since his first season as a player in the NFL?",Peyton Manning,[CLS],Peyton Manning
Who was the Denver head coach for Super Bowl 50?,Gary Kubiak,Gary Kubiak,Gary Kubiak
What foot was injured on Manning that sidelined him in week 10?,left foot.,left foot,Osweiler
Who was the defensive coordinator for the Broncos in 2015?,Wade Phillips,Wade Phillips,Wade Phillips
What was Peyton Manning's passer rating for the season?,67.9,67. 9,67. 9
How many picks did Peyton Manning throw in the season?,17,,105
Who registered the most receptions on the Broncos?,Demaryius Thomas,Demaryius Thomas,Demaryius Thomas
Who had the most rushing yards on the Broncos?,C. J. Anderson,Owen Daniels,C. J. Anderson
How many touchdowns did Brock Osweiler throw in the season?,10,10,10
What was the passer rating for Peyton Manning that he finished out with for the season? ,67.9,67. 9,67. 9
How may yards did Peyton Manning throw?,"2,249","2, 249","2, 249"
What was the number of 17 interceptions that Peyton Manning had by end of the year?,nine,six,86. 4
Who had the most receptions out of all players for the year?,Demaryius Thomas,Manning,Ronnie Hillman
What position does Demaryius Thomas play?,receiver,receiver,receiver
What was Manning's passer rating at the end of the season?,67.9,67. 9,67. 9
How many times was Manning intercepted during the 2015 season?,17,17,17
Who led the Broncos with 105 receptions?,Demaryius Thomas,Demaryius Thomas,Demaryius Thomas
How many touchdowns did Ronnie Hillman make?,5,five,six
What was Manning's passer rating for the 2015 season?,67.9,67. 9,67. 9
How many interceptions did manning have in 2015?,17,17,17
What Denver player caught the ball 76 times in the 2015 season?,Emmanuel Sanders,Emmanuel Sanders,Emmanuel Sanders
Who was the Broncos' leading rusher for the 2015 season?,C. J. Anderson,C. J. Anderson,C. J. Anderson
What was Ronnie Hillman's average yards per carry in 2015?,4.7,4. 7,720
How many yards did the Broncos' defense give up?,"4,530","4, 530","4, 530"
How many sacks did Derek Wolfe register?,5½,5½,5½
Who was first on the team in total tackles?,Brandon Marshall,Brandon Marshall,Brandon Marshall
How many picks did Aqib Talib have?,three,three,three
What position does DeMarcus currently play? ,Linebacker,Linebacker,Linebacker
What position does Brandon Marshall currently play? ,Linebacker,Linebacker,Linebacker
What is the position Derek Wolfe plays currently? ,Defensive ends,Defensive ends,Defensive ends
How many points did the Broncos defense allow their opponents to get?,296,fourth in points allowed ( 296,296
Which linebacker had the most sacks on the team?,Von Miller,Von Miller,Von Miller
Which linebacker led the Broncos in tackles?,Brandon Marshall,Von Miller,Von Miller
How many interceptions did Aqib Talib have for the regular season?,three.,three,three
Who forced four fumbles for the Broncos in the 2015 season?,Von Miller,Von Miller,Von Miller
What Denver player had 109 tackels for the 2015 season?,Linebacker Brandon Marshall,Brandon Marshall,Brandon Marshall
What two Denver players ranked at 5 percent for sacks?,Derek Wolfe and Malik Jackson,Derek Wolfe and Malik Jackson,Derek Wolfe and Malik Jackson
Who lost to the Panthers in the divisional round of the playoffs?,Seattle Seahawks,Seattle Seahawks,Seattle Seahawks
Who did the Panthers face in the NFC Championship Game?,Arizona Cardinals,Arizona Cardinals,Arizona Cardinals
How many total yards did the Panthers have in the NFC Championship?,487,487,487
How many times did Arizona turn the ball over in the NFC Championship?,seven,49 – 15,49 – 15
What was the final score of the game between the Panthers and the Seahawks?,31–24,"31 – 0 halftime lead and then holding off a furious second half comeback attempt to win 31 – 24, avenging their elimination from a year earlier. The Panthers then blew out the Arizona Cardinals in the NFC Championship Game, 49 – 15",31 – 0
What was the team the Carolina Panthers played immediately prior to the NFC Championship game? ,Seattle Seahawks,Arizona Cardinals,Arizona Cardinals
What was the score of the last game the Carolina Panthers played prior to the NFC Championship?,31–24,49 – 15,49 – 15
How many yards did the Carolina Panthers gain in the 487 in the NFC Championship Game?,487,487,487
Who did Carolina beat in the divisional round?,Seattle Seahawks,Seattle Seahawks,Seattle Seahawks
Who did the Panthers play to advance to the Super Bowl?,Arizona Cardinals,Seattle Seahawks,Arizona Cardinals
How many turnovers did the Panthers force during the NFC Championship game?,seven,seven,seven
Who did the Panthers beat in the divisional round?,Seattle Seahawks,Seattle Seahawks,Seattle Seahawks
What was the score for the 2015 NFC championship game?,49–15,49 – 15,49 – 15
Who did the Panthers play in their division championship game?,Arizona Cardinals,Seattle Seahawks,Seattle Seahawks
How many yards did the Panthers get for the division championshipt game?,487,487,487
Who lost to the Broncos in the divisional round?,Pittsburgh Steelers,Pittsburgh Steelers,Pittsburgh Steelers
How many points did the Broncos score in the last three minutes of the game versus Pittsburgh?,11,11,11
Who won Super Bowl XLIX?,New England Patriots,New England Patriots,New Engl
What was the final score of the AFC Championship Game?,20–18,20 – 18,20 – 18
How much time remained on the clock when the Broncos made the interception that clinched the AFC Championship Game?,17 seconds,17 seconds,17 seconds
What team was the divisional round winner between the Broncos and Steelers?,Broncos,Pittsburgh Steelers,Pittsburgh Steelers
What was the final score of the game between the Broncos and Steelers?,23–16,11 points,11 points
Who won Super Bowl XLIX?,New England Patriots,New England Patriots,New Engl
How many seconds were left in the game when the Broncos intercepted the pass that won the game?,17,17,17
"During the Bronco's playoff games, who did not throw at all?",Manning,Manning,Patriots
Who did the Broncos beat in the divisional game?,Pittsburgh Steelers,Pittsburgh Steelers,Pittsburgh Steelers
How many points did the Broncos score in the final three minutes of the Pittsburgh game?,11,11,11
Who did the Broncos defeat in the AFC Championship game?,New England Patriots,New England Patriots,Pittsburgh Steelers
Who did the Broncos beat to win their division in 2015?,Pittsburgh Steelers,Pittsburgh Steelers,Pittsburgh Steelers
Who did the Broncos beat tp become the AFC champions?,New England Patriots,New England Patriots,New Engl
