question,true,basic,rag
Who was the Most Valuable Player of Super Bowl 50?,Von Miller,Von Miller,Newton
What position does Von Miller play?,linebacker,linebacker,linebacker
How many times was the Panthers' quarterback sacked?,seven,seven,seven
How many times did the Broncos cause turnovers in the game?,three,three,three
What Denver player caused two fumbles for the Panthers?,Von Miller,Von Miller,Von Miller
How many tackles did Von Miller accomlish by himself in the game?,five,five,five
Which network broadcasted Super Bowl 50 in the U.S.?,CBS,CBS,CBS
What was the average cost for a 30 second commercial during Super Bowl 50?,$5 million,$ 5 million,$ 5 million
Which group headlined the Super Bowl 50 halftime show?,Coldplay,Coldplay,Coldpl
Which performers joined the headliner during the Super Bowl 50 halftime show?,Beyoncé and Bruno Mars,Beyoncé and Bruno Mars,Coldpl
At which Super Bowl did Beyonce headline the halftime show?,Super Bowl XLVII,Super Bowl 50,Super Bowl 50
Who was the broadcaster for Super Bowl 50 in the United States?,CBS,CBS,CBS
What was the average cost of a 30-second commercial?,$5 million,$ 5 million,$ 5 million
What halftime performer previously headlined Super Bowl XLVII?,Beyoncé,Beyoncé and Bruno Mars,Beyoncé and Bruno Mars
What halftime performer previously headlined Super Bowl XLVIII?,Bruno Mars,Beyoncé and Bruno Mars,Bruno Mars
Who was the main performer at this year's halftime show?,Coldplay,Beyoncé and Bruno Mars,Coldpl
Which network broadcasted the 50th Super Bowl game? ,CBS,CBS,CBS
What was the average cost for a TV ad lasting 30 seconds during Super Bowl 50?,$5 million,$ 5 million,$ 5 million
Who was the male singer who performed as a special guest during Super Bowl 50?,Bruno Mars,Beyoncé and Bruno Mars,Beyoncé and Bruno Mars
What ranking does the Super Bowl 50 halftime show have on the list of most watched TV broadcasts?,third,third,
What station aired the Super Bowl?,CBS,CBS,CBS
How much money did a 1/2 minute commercial cost?,$5 million,$ 5 million,$ 5 million
What band headlined half-time during Super Bowl 50?,Coldplay,Coldplay,Coldpl
What two artists came out with Coldplay during the half-time show?,Beyoncé and Bruno Mars,Beyoncé and Bruno Mars,British rock group
Who broadcast the Super Bowl on TV?,CBS,CBS,Beyoncé and Bruno Mars
Who headlined the halftime show for Super Bowl 50?,Coldplay,Coldplay with special guest performers Beyoncé and Bruno Mars,Coldpl
Who were special guests for the Super Bowl halftime show?,Beyoncé and Bruno Mars,Beyoncé and Bruno Mars,British rock group Coldpl
Which Super Bowl halftime show did Beyoncé headline?,Super Bowl XLVII,"Coldplay with special guest performers Beyoncé and Bruno Mars, who headlined the Super Bowl XLVII",Super Bowl XLVIII
What was the cost for a half minute ad?,$5 million,$ 5 million,$ 5 million
Who lead the Super Bowl 50 halftime performance?,Coldplay,Beyoncé and Bruno Mars,Coldpl
What other two famous performers were part of the Super Bowl 50 halftime?,Beyoncé and Bruno Mars,Beyoncé and Bruno Mars,Coldpl
What performer lead the Super Bowl XLVIII halftime show?,Bruno Mars,Beyoncé and Bruno Mars,Coldpl
Who was the NFL Commissioner in early 2012?,Roger Goodell,Roger Goodell,Roger Goodell
Which Super Bowl did Roger Goodell speak about?,the 50th Super Bowl,50th,50th
In what year did Roger Goodell call Super Bowl 50 'an important game for us as a league'?,2012,2012,2012
Who is the Commissioner of the National Football League?,Roger Goodell,Roger Goodell,Roger Goodell
When did he make the quoted remarks about Super Bowl 50?,early 2012,early 2012,early 2012
Who was the commissioner of the NFL in 2012? ,Roger Goodell,Roger Goodell,Roger Goodell
Who if the commissioner of the NFL?,Roger Goodell,Roger Goodell,Roger Goodell
Who is the commissioner of the NFL?,Roger Goodell,Roger Goodell,Roger Goodell
"In early 2012, Goodell said that Super Bowl 50 would be what?",spectacular,an important game for us as a league,an important game for us as a league
What one word did the NFL commissioner use to describe what Super Bowl 50 was intended to be?,spectacular,spectacular,spectacular
"What year did Roger Goodell announce that Super Bowl 50 would be ""important""?",2012,2012,2012
Which Louisiana venue was one of three considered for Super Bowl 50?,New Orleans' Mercedes-Benz Superdome,Mercedes - Benz Superdome,Mercedes - Benz Superdome
Which Florida venue was one of three considered for Super Bowl 50?,Miami's Sun Life Stadium,Sun Life Stadium,Sun Life Stadium
Which California venue was one of three considered for Super Bowl 50?,San Francisco Bay Area's Levi's Stadium,"New Orleans ' Mercedes - Benz Superdome, Miami ' s Sun Life Stadium, and the San Francisco Bay Area ' s Levi ' s Stadium","New Orleans ' Mercedes - Benz Superdome, Miami ' s Sun Life Stadium, and the San Francisco Bay Area ' s Levi ' s Stadium"
What venue in Miami was a candidate for the site of Super Bowl 50?,Sun Life Stadium,Sun Life Stadium,Sun Life Stadium
What site is located in the San Francisco Bay Area?,Levi's Stadium,Levi ' s Stadium,Levi ' s Stadium
What is the name of San Francisco's stadium when looked at as a possibility for Super Bowl 50?,Levi's Stadium,Levi ' s Stadium,Levi ' s Stadium
What was the name of New Orleans' superdome at the time that Super Bowl 50 took place?,Mercedes-Benz Superdome,Mercedes - Benz,Mercedes - Benz
What was the given name of Miami's stadium at the time of Super Bowl 50?,Sun Life Stadium,Sun Life Stadium,Sun Life Stadium
What three stadiums did the NFL decide between for the game?,"New Orleans' Mercedes-Benz Superdome, Miami's Sun Life Stadium, and the San Francisco Bay Area's Levi's Stadium","New Orleans ' Mercedes - Benz Superdome, Miami ' s Sun Life Stadium, and the San Francisco Bay Area ' s Levi ' s Stadium","New Orleans ' Mercedes - Benz Superdome, Miami ' s Sun Life Stadium, and the San Francisco Bay Area ' s Levi ' s Stadium"
How many sites did the NFL narrow down Super Bowl 50's location to?,three,three,three
"One of the sites, Merceds-Benz Superdome, is located where?",New Orleans,New Orleans,New Orleans
What is the name of the stadium in Miami that was considered?,Sun Life Stadium,Sun Life Stadium,Sun Life Stadium
What was the third city that was considered?,San Francisco,New Orleans,New Orleans
What is the name of the stadium in San Francisco Bay Area?,Levi's Stadium.,Levi ' s Stadium,Levi ' s Stadium
What Florida stadium was considered for Super Bowl 50?,Sun Life Stadium,Sun Life Stadium,Sun Life Stadium
What New Orleans stadium was considered for Super Bowl 50?,Mercedes-Benz Superdome,Mercedes - Benz Superdome,Mercedes - Benz Superdome
What is the name of the stadium where Super Bowl 50 was played?,Levi's Stadium.,Levi ' s Stadium,Levi ' s Stadium
When were the two finalists for hosting Super Bowl 50 announced?,"October 16, 2012","October 16, 2012","October 16, 2012"
How many times has the South Florida/Miami area hosted the Super Bowl?,10,10,10
What was the most recent Super Bowl hosted in the South Florida/Miami area?,Super Bowl XLIV,Super Bowl XLIV,Super Bowl XLIV
When was the most recent Super Bowl hosted in the South Florida/Miami area?,2010,2010,2010
When did the San Francisco Bay area last host the Super Bowl?,1985,1985,1985
What was the other finalist besides Levi's Stadium?,Sun Life Stadium,Sun Life Stadium,Sun Life Stadium
When were the finalists announced?,"October 16, 2012","October 16, 2012","October 16, 2012"
In what venue did Super Bowl XIX take place?,Stanford Stadium,Stanford Stadium,Stanford Stadium
On what date did the Florida legislature decide against the plan to renovate the Miami stadium?,"May 3, 2013","May 3, 2013","May 3, 2013"
In what year was the Super Bowl last held in the Miami/South Florida area?,2010,1985,1985
How many times has a Super Bowl taken place at Miami's Sun Life Stadium?,two,10,10
What was the last Super Bowl that took place at Sun Life Stadium in Miami? ,Super Bowl XLIV,Super Bowl XIX,Super Bowl XIX
"In 2012, how many stadiums were named as finalists for hosting Super Bowl 50 before the final stadium was chosen?",two,two,2010
What was the entity that stepped in and caused Miami's Sun Life Stadium to no longer be in the running to host Super Bowl 50?,Florida legislature,49ers,Super Bowl XLIV
"Prior to this consideration, when did San Francisco last host a Super Bowl?",1985,1985,1985
What other city has hosted the Super Bowl ten times?,New Orleans,South Florida / Miami,Orleans
What date were the top two stadium choices for Super Bowl 50 announced?,"October 16, 2012","October 16, 2012","October 16, 2012"
How many times prios has the Sun Life Stadium had Super Bowls?,10.,10,10
What city is tied with Miami for hosting the Super Bowl?,New Orleans,New Orleans,Orleans
When was the last time San Francisco hosted a Super Bowl?,1985,1985,1985
Who decided not to approve paying for renovations at Sun Life Stadium that the league wanted for them to do to host Super Bowl 50?,Florida legislature,Florida legislature,Florida legislature
When was Levi's Stadium awarded the right to host Super Bowl 50?,"May 21, 2013","May 21, 2013","May 21, 2013"
Who voted on the venue for Super Bowl 50?,NFL owners,NFL owners,NFL owners
When did Lev's Stadium open?,2014,2014,2014
How much did it cost to build Levi's Stadium?,$1.2 billion,$ 1. 2 billion,$ 1. 2 billion
What California city last hosted the Super Bowl?,San Diego,San Diego,San Diego
Where did the spring meetings of the NFL owners take place?,Boston,Boston,Boston
On what date was Super Bowl 50 given to Levi's Stadium?,"May 21, 2013","May 21, 2013","May 21, 2013"
How much did it cost to build Levi's Stadium?,$1.2 billion,$ 1. 2 billion,$ 1. 2 billion
"Prior to Super Bowl 50, what was the last Super Bowl in California?",Super Bowl XXXVII,Super Bowl XIX,Super Bowl XXXVII
In what city did the last Super Bowl in California occur?,San Diego,San Diego,San Diego
What year did Levi's Stadium become fully approved to host Super Bowl 50?,2013,2013,2013
When did Levi's stadium open to the public? ,2014,2014,2014
How much did it cost to build the stadium where Super Bowl 50 was played?,$1.2 billion,$ 1. 2 billion,$ 1. 2 billion
"What year did a Super Bowl play in the bay area around San Francisco, prior to Super Bowl 50?",1985,1985,1985
Which Super Bowl was hosted in San Diego in 2003? ,Super Bowl XXXVII,Super Bowl XXXVII,Super Bowl XXXVII
When was San Francisco voted to be the location for Super Bowl 50?,"May 21, 2013","May 21, 2013","May 21, 2013"
When did Levi's Stadium open?,2014,2014,2014
When was the last Super Bowl in California?,2003,2003,2003
Where was the meeting held when the NFL owners voted on the location for Super Bowl 50?,Boston,Boston,Boston
When was Levi's Stadium picked for Super bowl 50?,"May 21, 2013","May 21, 2013","May 21, 2013"
When did Levi's Stadium open?,2014.,2014,2014
How much did Levi's Stadium cost?,$1.2 billion,$ 1. 2 billion,$ 1. 2 billion
When was the last time California hosted a Super Bowl?,2003.,2003,2003
Who coached each Super Bowl 50 participant in their most recent Super Bowl appearance prior to Super Bowl 50?,John Fox,John Fox,John Fox
How many NFL teams have finished the regular season with one loss?,ten,ten,ten
How many NFL teams have gone 15-1 in one season?,six,six,ten teams to have completed a regular season with only one
Which team in Super Bowl 50 had a 15-1 record?,Carolina Panthers,Carolina Panthers,John Fox
What was the last Super Bowl the Broncos participated in?,Super Bowl XLVIII,50,The Broncos made their second
Who was the head coach of the Broncos in Super Bowl XLVIII?,John Fox,John Fox,Denver
What was the number of times the Denver Broncos played in a Super Bowl by the time they reached Super Bowl 50?,eight,eight,eight
How many NFL teams have had only one loss by the end of a regular season?,ten,ten,ten
What was the first Super Bowl that the Carolina Panthers played in? ,Super Bowl XXXVIII,Super Bowl XXXVIII,
How many teams can boast a 15–1 regular season record?,six,six,one
What seed was the Carolina Panthers?,number one,number one,number one
What seed was the Denver Broncos?,number one,four,four
"Prior to Super Bowl 50, when were the Broncos last there?",Super Bowl XLVIII,John Fox in their last Super Bowl appearance,last Super Bowl appearance
"Prior to Super Bowl 50, when were the Carolina Panthers last there?",Super Bowl XXXVIII.,John Fox in their last Super Bowl appearance,last Super Bowl appearance
How many teams have had a 15-1 record for the regular season?,six,six,one
How many games did the Panthers lose in the regular season before Super Bowl 50?,one,one,one
How many teams up to Super Bowl 50 have been to the championship game eight times?,four,four,four
"Before Super Bowl 50, what was the coach's name that coached both teams for their last Super Bowl appearances?",John Fox,John Fox,John Fox
Whic Carolina Panthers running back was waived?,DeAngelo Williams,DeAngelo Williams,DeAngelo Williams
Which Carolina Panthers wide receiver suffered a torn ACL before the season began?,Kelvin Benjamin,Kelvin Benjamin,Kelvin Benjamin
How many teams have won 15 regular season games since the 16-game schedule was adopted?,7,seventh,seventh
In what year did the NFL switch to a 16-game regular season?,1978,1978,1978
Who had the best record in the NFC?,Carolina Panthers,Panthers,Orleans Saints
How many Panthers went to the Pro Bowl?,Ten,Ten,Ten
How many Panthers were designated All-Pro?,eight,eight,eight
What Panther tore his ACL in the preseason?,Kelvin Benjamin,Kelvin Benjamin,
What year did the league begin having schedules with 16 games in them?,1978,1978,1978
What year did the the Saints hit a 13-0 record?,2009,2009,2009
When did the Packers arrive at a record of 13-0?,2011,2011,2011
What injury did the Carolina Panthers lose Kelvin Benjamin to during their preseason?,torn ACL,a torn ACL,a torn ACL
Which player did the Panthers lose to an ACL injury in a preseason game?,Kelvin Benjamin,Kelvin Benjamin,Kelvin Benjamin
Which running back did the Panthers waive?,DeAngelo Williams,DeAngelo Williams,DeAngelo Williams
When did the NFL start their 16 game seasons?,1978,1978,2009
How many Panthers players were selected to the Pro Bowl?,Ten,Ten,Ten
Which team had the best regular season in their history?,Carolina Panthers,Carolina Panthers,Carolina Panthers
When did the league go from 15 to 16 games in the regular season?,1978.,1978,1978
What team had the best start ever in the NFL?,Carolina Panthers,Carolina Panthers,NFC
How many Panthers players were chosen for the 2015 season's Pro Bowl?,Ten,Ten,Ten
How many Pro Bowlers were on the Panthers offense?,six,six,six
How many total touchdowns did Cam Newton score?,45,45,"3, 8"
How many interceptions did Cam Newton throw?,10,"3, 837","3, 8"
How many punts did Ted Ginn Jr. return?,27,27,44 passes for 739
Who started at tight end for the Panthers?,Greg Olsen,Greg Olsen,Greg Olsen
What is the record number of touchdowns Cam Newton has had? ,45,45,"3, 8"
What is the best QB ranking that Cam Newton holds?,99.4,99. 4,"3, 8"
What are the most passes that Greg Olsen has had?,77 passes,77,77
What position does Jerricho Cotchery play?,receivers,39 receptions for 485 yards,39 receptions
Which Panthers RB scored 6 TDs in the 13 games leading up to Super Bowl 50?,Jonathan Stewart,Jonathan Stewart,Cam Newton
How many Offensive players from the Panthers were selected to play in the Pro Bowl?,six,six,six
Who is the quarterback for the Carolina Panthers?,Cam Newton,Cam Newton,Corey Brown
How many yards did Newton throw for in 2015?,"3,837","3, 837",256
How many touchdowns did Newton have in 2015?,45,45,"3, 8"
How many touchdowns did Jonathan Stewart have in 13 games?,six,six,six
How many points did Carolina lead the NFL in scoring for offensive plays?,500,500,500
how many yards did Newton get for passes in the 2015 season?,"3,837","3, 837",
How many touchdowns did Newton get in the 2015 season?,45,"3, 837","3, 8"
What was Newton's quarterback rating for 2015?,99.4.,99. 4,"3, 8"
How many receptions did Cotchery  get for the 2015 season?,39,39,31
How many points did the Panthers defense surrender?,308,308,308
How many career sacks did Jared Allen have?,136,136,11
How many tackles did Luke Kuechly register?,118,118,118
How many balls did Josh Norman intercept?,four,88,four
Who registered the most sacks on the team this season?,Kawann Short,Kawann Short,
How many interceptions are the Panthers defense credited with in 2015?,24,308,24
Who led the Panthers in sacks?,Kawann Short,Kawann Short,hort
How many Panthers defense players were selected for the Pro Bowl?,four,four,four
How many forced fumbles did Thomas Davis have?,four,four,four
Which player had the most interceptions for the season?,Kurt Coleman,,Josh Norman
How many 2015 season interceptions did the Panthers' defense get?,24,308,24
Who had five sacks in nine games as a Carolina Panthers starter?,Kony Ealy,Kony Ealy,Kony Ealy
Who was the Panthers' tackle leader for 2015?,Luke Kuechly.,Jared Allen,Kony Ealy
How many interceptions did Josh Norman score touchdowns with in 2015?,two.,four,four
Who is the head coach of the Broncos?,Gary Kubiak,,Gary Kubiak
Who played quarterback for the Broncos after Peyton Manning was benched?,Brock Osweiler,Brock Osweiler,Brock Osweiler
Who did Peyton Manning play for as a rookie?,Indianapolis Colts,Indianapolis Colts,quarterback
Who did the Broncos play in the last week of the regular season?,San Diego Chargers,[CLS],"Manning ' s return during the Week 17 regular season finale, where the Broncos were losing 13 – 7 against the 4"
Who is Denver's defensive coordinator?,Wade Phillips,Wade Phillips,Wade Phillips
How many years was John Fox the head coach of the Denver Broncos?,four,four,mutual parting with head coach John Fox
"What is the name of the Bronco's head coach, who was hired after John Fox? ",Gary Kubiak,Gary Kubiak,Denver Broncos
What was the first team Peyton Manning began playing for?,Indianapolis Colts,,San Diego Chargers
How old was Peyton Manning in 2015?,39,39,39
"In the 10th week of the 2015 season, what injury was Peyton Manning dealing with?",plantar fasciitis,partial tear of the plantar fasciitis in his left foot,plantar fasciitis
"When John Fox left as head coach for the Broncos, who replaced him?",Gary Kubiak,Gary Kubiak,John Fox
Who was the quarterback for the Broncos 2015 season?,Peyton Manning,Peyton Manning,Osweiler
What injury did Manning suffer the summer before the season started?,a plantar fasciitis injury,plantar fasciitis,plantar fasciitis injury in his heel
How old was Manning at the beginning of the 2015 season?,39,39,Week 17
How many games did the Broncos lose during their regular 2015 season?,four,,13 – 7
What coach left the Broncos after the season prior to Super Bowl 50?,John Fox,,Gary Kubiak
"According to game stats, which Super Bowl 50 quarterback had his worst year since his first season as a player in the NFL?",Peyton Manning,[CLS],Manning
Who was the Denver head coach for Super Bowl 50?,Gary Kubiak,Gary Kubiak,John Fox
What foot was injured on Manning that sidelined him in week 10?,left foot.,left foot,left fo
Who was the defensive coordinator for the Broncos in 2015?,Wade Phillips,Wade Phillips,Wade Phillips
What was Peyton Manning's passer rating for the season?,67.9,67. 9,67. 9
How many picks did Peyton Manning throw in the season?,17,,not have any Pro Bowl selections
Who registered the most receptions on the Broncos?,Demaryius Thomas,Demaryius Thomas,Owen Daniels was also a big element of the passing game with 46 receptions for 517 yards. Running back C. J. Anderson
Who had the most rushing yards on the Broncos?,C. J. Anderson,Owen Daniels,C. J. Anderson
How many touchdowns did Brock Osweiler throw in the season?,10,10,10
What was the passer rating for Peyton Manning that he finished out with for the season? ,67.9,67. 9,67. 9
How may yards did Peyton Manning throw?,"2,249","2, 249","2, 249"
What was the number of 17 interceptions that Peyton Manning had by end of the year?,nine,six,46
Who had the most receptions out of all players for the year?,Demaryius Thomas,Manning,Demaryius Thomas
What position does Demaryius Thomas play?,receiver,receiver,receiver
What was Manning's passer rating at the end of the season?,67.9,67. 9,517
How many times was Manning intercepted during the 2015 season?,17,17,46
Who led the Broncos with 105 receptions?,Demaryius Thomas,Demaryius Thomas,Demaryius Thomas
How many touchdowns did Ronnie Hillman make?,5,five,five
What was Manning's passer rating for the 2015 season?,67.9,67. 9,67. 9
How many interceptions did manning have in 2015?,17,17,355
What Denver player caught the ball 76 times in the 2015 season?,Emmanuel Sanders,Emmanuel Sanders,Emmanuel Sanders
Who was the Broncos' leading rusher for the 2015 season?,C. J. Anderson,C. J. Anderson,C. J. Anderson
What was Ronnie Hillman's average yards per carry in 2015?,4.7,4. 7,7
How many yards did the Broncos' defense give up?,"4,530","4, 530","4, 530"
How many sacks did Derek Wolfe register?,5½,5½,5½
Who was first on the team in total tackles?,Brandon Marshall,Brandon Marshall,Brandon Marshall
How many picks did Aqib Talib have?,three,three,three
What position does DeMarcus currently play? ,Linebacker,Linebacker,Linebacker
What position does Brandon Marshall currently play? ,Linebacker,Linebacker,Linebacker
What is the position Derek Wolfe plays currently? ,Defensive ends,Defensive ends,Defensive ends
How many points did the Broncos defense allow their opponents to get?,296,fourth in points allowed ( 296,296
Which linebacker had the most sacks on the team?,Von Miller,Von Miller,Von Miller
Which linebacker led the Broncos in tackles?,Brandon Marshall,Von Miller,Von Miller
How many interceptions did Aqib Talib have for the regular season?,three.,three,three
Who forced four fumbles for the Broncos in the 2015 season?,Von Miller,Von Miller,Von Miller
What Denver player had 109 tackels for the 2015 season?,Linebacker Brandon Marshall,Brandon Marshall,Derek Wolfe and Malik Jackson
What two Denver players ranked at 5 percent for sacks?,Derek Wolfe and Malik Jackson,Derek Wolfe and Malik Jackson,"Chris Harris, Jr."
Who lost to the Panthers in the divisional round of the playoffs?,Seattle Seahawks,Seattle Seahawks,Seattle Seahawks
Who did the Panthers face in the NFC Championship Game?,Arizona Cardinals,Arizona Cardinals,Arizona Cardinals
How many total yards did the Panthers have in the NFC Championship?,487,487,487
How many times did Arizona turn the ball over in the NFC Championship?,seven,49 – 15,49 – 15
What was the final score of the game between the Panthers and the Seahawks?,31–24,"31 – 0 halftime lead and then holding off a furious second half comeback attempt to win 31 – 24, avenging their elimination from a year earlier. The Panthers then blew out the Arizona Cardinals in the NFC Championship Game, 49 – 15",49 – 15
What was the team the Carolina Panthers played immediately prior to the NFC Championship game? ,Seattle Seahawks,Arizona Cardinals,Arizona Cardinals
What was the score of the last game the Carolina Panthers played prior to the NFC Championship?,31–24,49 – 15,49 – 15
How many yards did the Carolina Panthers gain in the 487 in the NFC Championship Game?,487,487,487
Who did Carolina beat in the divisional round?,Seattle Seahawks,Seattle Seahawks,Seattle Seahawks
Who did the Panthers play to advance to the Super Bowl?,Arizona Cardinals,Seattle Seahawks,Seattle Seahawks
How many turnovers did the Panthers force during the NFC Championship game?,seven,seven,seven
Who did the Panthers beat in the divisional round?,Seattle Seahawks,Seattle Seahawks,Seattle Seahawks
What was the score for the 2015 NFC championship game?,49–15,49 – 15,49 – 15
Who did the Panthers play in their division championship game?,Arizona Cardinals,Seattle Seahawks,Arizona Cardinals
How many yards did the Panthers get for the division championshipt game?,487,487,487
Who lost to the Broncos in the divisional round?,Pittsburgh Steelers,Pittsburgh Steelers,Pittsburgh Steelers
How many points did the Broncos score in the last three minutes of the game versus Pittsburgh?,11,11,11
Who won Super Bowl XLIX?,New England Patriots,New England Patriots,New Engl
